Doc_ID,DSI_Title,Submission File Name,Student Name,Genre of Movie,Review Type (pos or neg),Movie Title,Text
0,BBP_Doc1_Kung_Fu_Panda_4,BBP_Doc1_Kung_Fu_Panda_4,BBP,Comedy,Negative,Kung_Fu_Panda_4,"A lot of the charm has been deep fried out of ""Kung Fu Panda,"" a not-uncommon malady among successful kids' cartoon franchises that have produced multiple films, and multiple seasons of a TV series. Three credited writers and the vocal stylings of Jack Black and Awkwafina can't render ""Kung Fu Panda 4"" into anything but semi-organized repetition, recycling and random riffs that rarely manage to interrupt the tedium or flatlining one-liners. ""I wish I had a dumpling for every time a villain told me 'how much we have in common.'"" It's like a later ""Transformers"" or Marvel movie, an umpteenth installment of your average action anime, where fan service and endless fights are all anybody involved can dream up. Our Dragon Warrior, roly poly panda Po (Black) is in his prime, cocksure in fights and enjoying his celebrity. That makes this the perfect time to ""Choose your successor,"" Master Shifu the wee red panda (Dustin Hoffman) intones. Po is reluctant to take ""the next step in your journey,"" senior spiritual management for The Valley of Peace. But that's of little consequence when old foes like the tiger Tai Lung (Ian McShane) come back from the spirit world, because a new foe, The Chameleon of Juniper City (Viola Davis) is summoning them and adding to her powers to theirs to take down The Dragon Warrior. A thieving ninja fox (Awkwafina) is arm-twisted into helping Po. His two dads (James Hong and Bryan Cranston) whine and fret over that. But there's nothing for it but to face a new enemy by making their way to Juniper City. That ""choose a successor"" business, all about ""You know when you know"" you've found the right warrior, will have to wait. Fortune cookie one-liners abound. ""Every step leaves a footprint, no matter how small."" ""It is easier to hang onto the life you know than reach for the life you don't."" ""It's never too late to do the right thing."" There are a few chuckles, here and there, but ""the right thing"" as far as this movie is concerned is more and more comical brawling. It's never quite a nine year-old's idea of ""cool"" and never as funny as one would hope. As Black's Master Po asks in the film's most telling line, ""Where's the skadoosh?"" The biggest laugh comes from the skipper whose Chinese junk sails to Juniper City on a regular run. Po negotiates with the pelican in charge. He thinks. Then the pelican opens its mouth and the ""real"" captain turns out to be a fish floating in seawater in the bird's bill. The comic Ronny Chieng, voicing the fish, makes more amusement out of that sight gag than anybody else here manages. Dreamworks built its animation empire out of smart-mouthed, sight-gagged character comedies like ""Shrek"" and ""Puss in Boots"" and ""Madagascar."" It's not shocking that they came back to the ""Kung Fu Panda,"" as, like Pixar, they've hit the wall when it comes to new ideas. But even they'd have to"
1,BBP_Doc2_Kung_Fu_Panda_4,BBP_Doc2_Kung_Fu_Panda_4,BBP,Comedy,Negative,Kung_Fu_Panda_4,"Throughout the course of the Kung Fu Panda trilogy, we've seen dim-witted, dumpling-obsessed panda Po (voiced by Jack Black) transform from a bumbling, underestimated rube into an insightful, self-confident warriora Dragon Master, to be exact. He's found his chi, taken a journey of self-discovery, learned selflessness, and harnessed the power to kick butt using kung fu to defeat a legion of ruthless villains. He's also broken a few ancient artifacts in his process towards enlightenment. Over the past 16 years, his saga has spun off additional adventures for Po and his pals in direct-to-DVD shorts, a few animated series, and a holiday TV special. It seems Po's greatest power has been the ability to become a massive, money-making franchise. Yet, after an eight-year absence from the silver screen, Po's return in Kung Fu Panda 4 has lost much of its creative spark. Directed by Mike Mitchell (Trolls, The Lego Movie 2: The Second Part) along with co-director Stephanie Stine (She-Ra And The Princesses Of Power), this next chapter has Po suffering from a career crisis, reluctantly seeking a protege and stubbornly defending against an enemy threat. While this may sound like a story fit for the Pandaverse, in execution it fails to prove itself worthy of cinematic inclusion. Instead of finding the perfect balance of humor as the other films did, jokes outweigh and occasionally undercut the few resounding sentiments on personal evolution. When we reunite with Dragon Warrior Po, he's in his element, subduing a giant stingray with the Staff of Wisdom bequeathed by the legendary, deceased master Oogway. Master Shifu (Dustin Hoffman) feels the universe is revealing that it's time for Po to level up to the title of Spiritual Leader of the Valley of Peace. Not only does this mean no more field missions for Po, it also entails having to choose a candidate to be the next Dragon Warrior. Since Po has no interest in changing his life, he drags his heels on both decisions. However, he can't stall for too long as there's a new adversary looming on the horizon. The Chameleon (Viola Davis)a shape-shifting sorceress who's more evil and egomaniacal than any baddie we've met beforeis looking to gain riches, power, and territory in a tyrannical takeover. First, she needs Po's special staff to open the spirit realm so she can let all the master villains loose and steal their martial arts talents. Once Po catches wind of her plan, he teams up with an unlikely ally: Zhen (Awkwafina), a cunning criminal who's as annoyingly scrappy as she is skillful. They set out on a road trip to the bustling metropolis of Juniper City, but the mismatched pair quickly learn that they're going to have to work together to save the dayand the world. Surprisingly, screenwriters Jonathan Aibel and Glenn Berger (who wrote the previous three Panda movies), along with Darren Lemke, have constructed a rote, generic journey for the titular hero and his new sidekick while his squad, the Furious Five, are off"
2,BBP_Doc3_Kung_Fu_Panda_4,BBP_Doc3_Kung_Fu_Panda_4,BBP,Comedy,Negative,Kung_Fu_Panda_4,"The trilogy ended in satisfying fashion in 2016 with the cuddly, constantly hungry Po finally coming into his own in his unlikely role as the Dragon Warrior. He is both the student and the teacher. He has the respect of the Furious Five and his mentor, Master Shifu. He's proven his bravery again and again in protecting the Valley of Peace from all manner of animal attackers. And he enjoys a loving and supportive bond with both of his dads: the restaurateur goose Mr. Ping and his biological panda father, Li. It's all good. Eight years later, ""Kung Fu Panda 4"" struggles to justify its existence. It lacks both the delicate artistry and warm wit of its predecessors. The subtle sense of spirituality is long gone; in its place are frantic action sequences. Whereas the previous movies operated on various levels to resonate with adults and entertain kids, this one is geared mainly toward younger audiences in ways that are frequently silly and insubstantial. Too often in the film from director Mike Mitchell (""Trolls,"" ""The LEGO Movie 2: The Second Part"") and co-director Stephanie Ma Stine, the pacing is rushed, squandering the potential for tension or humor. A sight gag involving a literal bull in a China shop is a prime example: It zips by during a chase scene, without allowing us a moment to linger in the details. But in addition to a litany of uninspired puns, the main problem in the script from returning writers Jonathan Aibel & Glenn Berger and Darren Lemke (""Turbo,"" ""Shazam!"") is that the event that sets the plot in motion feels contrived. Shifu (Dustin Hoffman) tells Po (the ever-energetic Jack Black) that he must take over as spiritual leader of the valleywhich had been the late, legendary Master Oogway's responsibilityand hand off the day-in, day-out Dragon Warrior duties to a protege. Why now? He's only had the gig for a little while, and a hastily called audition montage barely registers. Besides, there's a more pressing threat, and it introduces us to a bunch of new characters voiced by an impressive array of actors. A shape-shifting sorceress known as the Chameleon (Viola Davis, formidable as always) wants to steal Po's Staff of Wisdom and use it to gather up the abilities of all the villains in the Spirit Realm. Yes, this does sound a lot like the dastardly intention of Kai, the supernatural bad guy voiced by J.K. Simmons in ""Kung Fu Panda 3."" To stop the Chameleon, Po reluctantly enlists the help of Zhen, a thieving fox who's knowledgeable about the outside world in ways that he isn't. She's voiced by Awkwafina in yet another wise-cracking sidekick role. It's a strength of hers and it can be amusing, but by now we've seen her play this kind of smart-alecky comic part way too many times, particularly in animated films, between ""The Little Mermaid,"" ""The Bad Guys"" and ""Raya and the Last Dragon."" As Po and Zhen travel to stop the Chameleon in a"
3,BBP_Doc4_Kung_Fu_Panda_4,BBP_Doc4_Kung_Fu_Panda_4,BBP,Comedy,Negative,Kung_Fu_Panda_4,"Po (Jack Black), the sad-clown-eyed, dude-speaking, dumpling-loving, dumpling-shaped whirling dervish of the ""Kung Fu Panda"" films, has a word to describe his favorite martial-arts move (the wuxi finger hold, executed with a raised pinkie). More than that, it describes the exalted state inside him as he executes it. The word is ""skadoosh."" Early on in ""Kung Fu Panda 4,"" Po is in the middle of a combat training moment when he asks, ""Where's the skadoosh?"" It's a meaningful question, because what he's really saying is: You can fight all you want, but without the skadoosh, what's the point? Watching ""Kung Fu Panda 4,"" a sequel that's probably going to make a Zen temple full of money, I kept thinking back to that moment. This genial fourth-chapter action fairy tale has all the things it's supposed to have, at least according to the blockbuster animation playbook: Po kicking butt between daydreams of doughy cuisine; a quirky fighting sidekick an androgynous-looking fox named Zhen, voiced by Awkwafina who spends the film trading barbs with him; box-checking encounters with Po's parents, Li Shan (Bryan Cranston) and Mr. Ping (James Hong), as well as his training guru, the ancient curmudgeon Master Shifu (Dustin Hoffman); plus a supervillain who does all she can to take over the world. Yet as the movie unfolded, all I could think was, Where's the skadoosh? When the original ""Kung Fu Panda"" was released in 2008, it was built around a great joke: that Po, incarnated by Jack Black at his Jack Blackiest, was a lazy hipster goofball who just wanted to sit around yet somehow, through intense training (and the pursuit of his love of dumplings), he became the unlikeliest of kung fu masters. Two sequels (one good, one okay) and three let's-milk-the-franchise animated TV series later, Po is now an icon, a mascot, an action figure for every kid with the imagination of a superhero and the soul of a couch potato. But with all that overexposure, it isn't just the novelty that is now gone from Po's saga. So is the comic punch, the sense that he's on a journey that jolts him out of his torpor. The journey ""Kung Fu Panda 4"" places him on is retirement. As the film opens, he's trying to hawk his identity as the Dragon Warrior to open a tofu-and-noodle shop. This is a clear sign of decadence (almost a knowing metaphor for franchise cartoon burnout), which is why it seems fitting when Master Shifu informs him that it's time for Po to choose a successor and for Po himself to become the spiritual leader of the Valley of Peace. But Po doesn't want to be yesterday's dumpling. He's holding as iron a grip on his role as Joe Biden. Fate arrives in the form of the Chameleon, an empress sorceress who can shape-shift into anything she wants. You'd think the movie would have a mad ball with this, but Mike Mitchell, who directed the inspired ""Trolls,"" works no such magic"
4,BBP_Doc5_Kung_Fu_Panda_4,BBP_Doc5_Kung_Fu_Panda_4,BBP,Comedy,Negative,Kung_Fu_Panda_4,"Martial arts master panda Po returns to the big screen after an eight-year absence with Kung Fu Panda 4, a lacklustre sequel which is as colourful and energetic as its predecessors but lacks the sweet buoyancy that once made this franchise so fun. Jack Black is back to voice the endearing panda, who is coping with the fact that he must relinquish his warrior mantle just when a deadly new enemy makes her presence known. But there is little fresh about the character or his world any more, resulting in a sporadically amusing animated action-comedy without much kick. Kung Fu Panda 4 opens March 8 in the US, with a March 28 release planned for the UK. The 2016 Kung Fu Panda 3 grossed roughly $520m worldwide, followed by two streaming series, one on Prime Video and the other on Netflix. (Black lent his voice to the latter) Some of the star cast from previous cinematic instalments Angelina Jolie, Seth Rogen, Lucy Liu and Jackie Chan are missing from the new film, although the arrival of new names, such as Awkwafina and Viola Davis, will add lustre. With few family pictures in the marketplace, Kung Fu Panda 4 should enjoy strong commercial returns. The original 2008 film provided Black with one of his signature roles; an irreverent, compassionate panda who discovers the greatness inside himself after he is forced to protect those he loves. Boasting dazzling animation and a fizzy combination of martial-arts action and slapstick comedy, Kung Fu Panda was a constant delight. Unfortunately, the sequels have struggled to maintain that magic, and this new chapter is especially laboured. Now long-celebrated as The Dragon Warrior, the kindly, heroic Po (Black) is concerned when his ageing mentor Master Shifu (Dustin Hoffman) advises him that it is time to ascend to his new role, that of Spiritual Leader Of The Valley Of Peace. But Po has no interest in a position in which he will not be able to show off his expert kung-fu moves, so it is almost a relief when he learns of the arrival of a mysterious adversary, The Chameleon (Davis), a shape-shifting sorceress who wants to rule the land. Assisted by a new friend, a crafty fox named Zhen (Awkwafina) who has dealt with The Chameleon before, Po prepares to do battle. Director Mike Mitchell (Trolls, The Lego Movie 2) and franchise writers Jonathan Aibel and Glenn Berger (joined this time by Darren Lemke) have crafted a simplistic parable in which Po bonds with the sarcastic Zhen, an orphan who has trouble trusting others. (She is only working with Po in exchange for a shorter prison term after being arrested for stealing.) Po does not want to give up his title as Dragon Warrior, but Shifu insists he must choose a successor so, inevitably, Po will spend much of this sequel shirking his responsibility until, eventually, he comes to understand the importance of embracing change, no matter how difficult it might be. Those life lessons like everything"
5,BBP_Doc6_Kung_Fu_Panda_4,BBP_Doc6_Kung_Fu_Panda_4,BBP,Comedy,Positive,Kung_Fu_Panda_4,"Lovers of the big-screen movie experience, rejoice! In the past week we've been gifted with two count 'em, two pictures of breathtaking visual opulence. One, of course, is ""Dune: Part Two,"" currently playing in all its sandwormy splendor at multiplexes just about everywhere. The other is, unexpectedly, ""Kung Fu Panda 4."" ""Huh!"" you might say. A kiddie cartoon about a pudgy protagonist voiced by an especially excitable Jack Black? Believe it. Visual splendor is where you find it, and you'll find plenty of it here. Gloriously colorful landscapes, bustling cityscapes, deep-focus interiors, all on view, demanding to be seen on the biggest screens one can find. As is the case with ""Dune,"" tiny phones and laptops can't begin to do justice to what the filmmakers have conjured up. Leave the house, pay the parking, buy the popcorn, settle in and enjoy what movies at their best are truly all about. The fourth time is truly the charm in this long-running franchise. For its first return in eight years, directors Mike Mitchell and Stephanie Stine, a trio of credited screenwriters and a vast army of technical specialists have recalibrated the ""Panda"" format. They've reassigned Po's martial arts compatriots, the Furious Five (Tigress, Monkey, Mantis, Crane and Viper), to off-screen duties, briefly acknowledging their absence early in the movie. In their place, they've brought aboard a fox named Zhen. It's a good trade because said fox is voiced by the inimitable Awkwafina. Note to Hollywood: Cast her in every animated movie henceforth. She's one of the best features in a smallish role in ""Migration"" and she's an artful scene-stealer in ""Panda 4."" Credit writers Jonathan Aibel, Glenn Berger and Darren Lemke with her clever, snappy dialogue. Credit Awkwafina with her quick-lipped, humor-laden delivery. The character is a light-fingered thief who badgers, bothers and bewilders Po as the two of them venture forth to match wits and martial arts skills with a shape-shifting lizard villainess impressively, menacingly, voiced by the redoubtable Viola Davis. The character's split-second transformations are masterpieces of the animators' skills. From the genial, gluttonous doofus he played in the original ""Kung Fu Panda"" in 2008, Po has gradually graduated to more significant duties over the course of the movies, a battler for justice and a popular leader of critters in his home valley. Now his mentor-master, the red panda Master Shifu (again voiced by Dustin Hoffman), demands Po take the next step and become the Spiritual Leader in the Valley of Peace. That's not for him, he tells his master. He's a more grounded, gluttonous kind of guy. This, as usual, induces heartburn in the mentor. It's a conflicted relationship. Before he can graduate to the higher spiritual plane, Po has to recruit a replacement. Finagling her way into contention is Zhen. Prodded by Shifu, paired with Zhen, propelled cross-country to a city of sinful types (beware the teeny bunnies with bad attitudes and fearsome fangs), Po goes forth, battling often in impressively choreographed fight scenes. Armed with his unreliable"
6,BBP_Doc7_Kung_Fu_Panda_4,BBP_Doc7_Kung_Fu_Panda_4,BBP,Comedy,Positive,Kung_Fu_Panda_4,"Kung Fu Panda 4 finds our trusty, rotund hero Po at a career crossroads and he's nervous. ""Change doesn't have to be a bad thing,"" he is told. ""Kung Fu Panda 4"" also finds the franchise at an inflection point, but there's no reason for us to be nervous. DreamWorks knows what it's doing. The series' first new installment in eight years is a reliably funny, sweet and wonderfully realized passing of the torch, with a paw in the past and another into the future an elegant goodbye and a hello. Many other filmmakers ahem, Marvel and DC might learn a thing. When we meet him, Po voiced as always by a lively Jack Black is being asked to give up his dream role as Dragon Warrior and pick a successor. He's being kicked upstairs to be Spiritual Leader of the Valley of Peace. (This is basically the Peter Principle illustrated in animation.) Except Po doesn't want to go into management. He loves smashing skulls and still has that lovable imposter syndrome he's had since the franchise began. He tries to short-circuit any succession plans, change being too frightening. A new enemy threatening an existential crisis offers a reprieve The Chameleon a wicked, powerful sorceress voiced by Viola Davis looks like the lizard from the GEICO commercials who spent too much time at Graceland. Po teams up with a new character a Corsac fox named Zhen voiced by Awkwafina who is an orphan-turned-thief and teaches the too-trusting panda to trust no one. The movie then becomes a buddy road movie as these two hunt The Chameleon and a chance to bundle their home and auto insurance. Wait a minute, you might be asking: Where are The Furious Five Tigress, Viper, Monkey, Crane and Mantis who have been in each ""Kung Fu Panda"" iteration so far? They're not really in ""Kung Fu Panda 4,"" but the film reaches back to the first installment to bring back the snow leopard, Tai Lung, voiced by the sonorous Ian McShane. Bryan Cranston is also back to voice Po's goofy biological father and James Hong returns as his spirited adoptive goose dad, while Dustin Hoffman reprises his role as eye-rolling master Shifu. It's a good balance of new and old characters but a masterstroke is coming: The Chameleon finds a way of accessing the spirit realm and bringing back every villain Po has ever faced. That results in a greatest hits-like fight scene that may be hard to top if there's a ""Kung Fu Panda 5."" The third installment's writers, Jonathan Aibel and Glenn Berger, are also back this time, joined by Darren Lemke. The film is helmed by ""The Lego Movie 2"" director Mike Mitchell and co-directed by Stephanie Ma Stine, who worked on ""Raya and the Last Dragon."" The last three movies have largely stuck to the rural Valley of Peace, so the filmmakers change it up this time and take Po and Zhen to an urban environment, Juniper City, packed with busy"
7,BBP_Doc8_Kung_Fu_Panda_4,BBP_Doc8_Kung_Fu_Panda_4,BBP,Comedy,Positive,Kung_Fu_Panda_4,"Over the course of three Kung Fu Panda movies, audiences have watched as Jack Black's lovable panda Po beat the odds and became the unstoppable force known as the Dragon Warrior. Now, eight years after the franchise appeared to end (at least on the big screen), Po is back in a new adventure that offers another, perhaps more satisfying endpoint to his story in Kung Fu Panda 4. Though following a familiar formula that's running the risk of wearing thin, this new sequel from director Mike Mitchell and co-director Stephanie Stine still finds some heart in the reliable DreamWorks franchise. Kung Fu Panda first began in 2008 and became a box office phenomenon that only grew with its sequel. However, Kung Fu Panda 3 saw some diminishing returns, and it remains to be seen how this new effort will fare. As someone who just binge-watched all three movies, I can confidently say that those who enjoyed Po's past adventures will find things to love about this one, even if it is lacking some beloved parts. Kung Fu Panda 4 starts off similarly to the previous movies, with one of Po's previous adversaries making a surprise return in an ominous prologue. By now, Po has fully embraced his role as the Valley of Peace's Dragon Warrior, and he's even got a new staff to highlight his elevated position. The movie picks up threads from Kung Fu Panda 3, specifically involving Po possessing the late Master Oogway's staff. As a result, Master Shifu (a returning Dustin Hoffman) informs Po he needs to pick someone to be the new Dragon Warrior so Po can become the Valley's spiritual leader. Unsurprisingly, Po is against the idea and actively avoids it by turning his focus to China's latest threat, the shape-shifting Chameleon (Viola Davis). Po begins Kung Fu Panda 4 with his typical irreverent personality fully intact. He's become more sure of himself when it comes to heroics, but when faced with greater responsibility, he deflects with jokes, much to Shifu's chagrin. It is somewhat exhausting to see Po refuse to grow, particularly after we've seen him learn time and again that he has to undergo some change. Kung Fu Panda 4 soon recovers and puts him on a path of genuine development, but it does suggest there isn't much further for this character to go. Luckily, Black hasn't missed a beat in voicing Po, throwing himself into the role once again with plenty of enthusiasm. His cover of Britney Spears' ""Baby One More Time"" in the credits is also not to be missed. As with the previous movies, Kung Fu Panda 4 has assembled an impressive voice cast. Po's friends and fellow warriors, the Furious Five, are conspicuously missing, and their absence is disappointing. Nevertheless, the movie tries its best to fill in the gaps. Returning characters Li (Bryan Cranston) and Ping (James Hong) get their own subplot, as Po's dads bond over their shared concern for his safety, and their heartwarming dynamic leads"
8,BBP_Doc9_Kung_Fu_Panda_4,BBP_Doc9_Kung_Fu_Panda_4,BBP,Comedy,Positive,Kung_Fu_Panda_4,"While animated movie series can often fall prey to franchise bloat, Kung Fu Panda has remained consistently solid, despite running since 2008 and now featuring four movies, and far more television specials, short films, and television series than you're probably aware of. In a world full of possibilities, vibrant characters, and a sense of humor that rarely relies on pop culture or current trend jokes like most animated films, the Kung Fu Panda movies are always reliable fun. The last film in the franchise, 2016's Kung Fu Panda 3, felt like a decent conclusion for the adventures of Po (voiced by Jack Black), as he accepted his position and truly became the Dragon Warrior. With the third installment also rehashing some of the same ideas from the first two films, it felt like maybe it was time for Po and the Kung Fu Panda films to head into the sunset while it was still on top. But eight years later, Po returns with Kung Fu Panda 4 and proves that there's still plenty of juice left in these movies. It provides another fitting ending for this series, but also opens up the opportunity for a new beginning. Kung Fu Panda 4 begins with Po finally comfortable in his placement as the Dragon Warrior. While the rest of the Furious Five are off on their own adventures, Po is maintaining the peace and protecting those in need all on his own. This is why it comes as a shock when Po is told by Master Shifu (Dustin Hoffman) that it's time for Po to become the Spiritual Leader of the Valley of Peace and that he must pick his replacement as the new Dragon Warrior. Given his newfound comfort in the position, Po is hesitant about losing the title he's worked so hard to achieve. Even with great potential replacements, Po is uninspired by his options. While Po is struggling with this decision, he encounters a fox named Zhen (Awkwafina) who is attempting to rob the temple. After putting her behind bars, Po learns of a new enemy known as The Chameleon (Viola Davis) who can shape-shift into anyone and is attempting to conjure villains from the past to steal their kung fu powers. When he discovers that Zhen might have information on how he can find The Chameleon, Po teams up with this fox. The unlikely pair must then try to stop this new power-stealing enemy. The Kung Fu Panda movies have always been about Po working with the ensemble of the Furious Five, and as the series continued, the supporting cast grew more important, even hinting that they'd be capable of handling their own plots. But if the rest of this series has been ensemble action films, Kung Fu Panda 4 moves away from that to turn this latest installment into a buddy film between Po and Zhen. Even though it may seem odd for these movies to move away from what was still working for them, it's a"
9,BBP_Doc10_Kung_Fu_Panda_4,BBP_Doc10_Kung_Fu_Panda_4,BBP,Comedy,Positive,Kung_Fu_Panda_4,"Animated film franchises have a way of making you feel old. When you watch live-action movie series featuring your favorite stars over a period of many years, the actors at least have the grace to age along with their audiences. But the characters in animated movies tend to always look the same, as demonstrated by Po, the hero of Kung Fu Panda 4. As still delightfully voiced by Jack Black, he's exactly the same big, furry lug that he was in the original film, which came out in, gulp, 2008. Well, he's a little different. He's now been the Dragon Warrior for so long that his mentor, Shifu (Dustin Hoffman, sounding more gravelly than ever), orders him to relinquish his title and assume the role of Spiritual Leader of the Valley of Peace. Po, who's preoccupied with starting his own noodle restaurant, resists at first, but ultimately complies with the directive that also requires him to find and train his successor. First, though, he has to deal with a new villain in the form of, at least some of the time, The Chameleon (Viola Davis, in her first animated voice turn), who, as her name indicates, has the ability to transform herself at will from a tiny lizard into any creature she chooses, including an elephant. The Chameleon is set on acquiring Po's Staff of Wisdom, which would enable her to bring back all of the evildoers whom Po had previously vanished in films 1-3. He winds up teaming up, buddy cop-movie style, with Zhen (Awkwafina), a crafty, thieving fox who promises to lead Po to The Chameleon. To do so, they'll have to leave the safe confines of the Valley of Peace and head to the wilds of Juniper City, where they instantly get into all forms of trouble, including a barroom brawl that provides the opportunity, one of many, for the filmmakers to deliver one of the kinetic animated fight sequences that have been the series' trademark since its inception and here reach dazzling new visual heights. Pursuing the pair are Po's adoptive, goose father Mr. Ping (James Hong) and real father Li (Bryan Cranston), who are prominently featured in this installment. Their bumbling interactions resembling the antics of a seasoned vaudevillian team, they provide many of the film's laughs, as when Li attempts to intimidate a group of lowlifes by announcing, ""I eat mahjong tiles for breakfast!"" He winds up teaming up, buddy cop-movie style, with Zhen (Awkwafina), a crafty, thieving fox who promises to lead Po to The Chameleon. To do so, they'll have to leave the safe confines of the Valley of Peace and head to the wilds of Juniper City, where they instantly get into all forms of trouble, including a barroom brawl that provides the opportunity, one of many, for the filmmakers to deliver one of the kinetic animated fight sequences that have been the series' trademark since its inception and here reach dazzling new visual heights. Pursuing the pair are Po's adoptive,"
